,EventName,RoundNumber,eventYear,Team,Compound,Driver,Stint,bestPreRaceTime,bestLapTimeIsFrom,meanAirTemp,meanTrackTemp,meanHumid,Rainfall,GridPosition,Position,raceStintsNums,TyreAge,lapNumberAtBeginingOfStint,StintLen,CircuitLength,designedLaps
0,Abu Dhabi Grand Prix,17,2020,Red Bull Racing,HARD,ALB,2,95.571,Qualifying,22.90888889,26.61111111,58.24888889,0.0,5,4,2,1.0,11,45,5.554,55
1,Abu Dhabi Grand Prix,17,2020,Red Bull Racing,HARD,VER,2,95.246,Qualifying,22.91111111,26.62888889,58.20444444,0.0,1,1,2,1.0,11,45,5.554,55
2,Abu Dhabi Grand Prix,17,2020,Red Bull Racing,MEDIUM,VER,1,95.246,Qualifying,23.56,28.93,51.62,0.0,1,1,1,4.0,1,10,5.554,55
3,Abu Dhabi Grand Prix,17,2020,Red Bull Racing,SOFT,ALB,1,95.571,Qualifying,23.56,28.91,51.65,0.0,5,4,1,4.0,1,10,5.554,55
4,Abu Dhabi Grand Prix,21,2018,Red Bull Racing,HYPERSOFT,RIC,2,95.401,Qualifying,27.4,28.3,65.2,0.0,5,4,2,34.0,49,1,5.554,55
5,Abu Dhabi Grand Prix,21,2018,Red Bull Racing,HYPERSOFT,VER,1,95.589,Qualifying,32.85882353,34.4,37.02352941,0.0,6,3,1,4.0,1,17,5.554,55
6,Abu Dhabi Grand Prix,21,2018,Red Bull Racing,SUPERSOFT,RIC,2,95.401,Qualifying,28.85238095,31.36666667,57.28095238,0.0,5,4,2,1.0,34,21,5.554,55
7,Abu Dhabi Grand Prix,21,2018,Red Bull Racing,SUPERSOFT,VER,2,95.589,Qualifying,29.97894737,31.96315789,52.35263158,0.105263158,6,3,2,1.0,18,38,5.554,55
8,Abu Dhabi Grand Prix,21,2018,Red Bull Racing,ULTRASOFT,RIC,1,95.401,Qualifying,32.27272727,33.71818182,40.85454545,0.121212121,5,4,1,5.0,1,33,5.554,55
9,Abu Dhabi Grand Prix,21,2019,Red Bull Racing,HARD,ALB,2,95.682,Qualifying,25.50952381,28.33333333,67.87857143,0.0,5,6,2,1.0,14,42,5.554,55
10,Abu Dhabi Grand Prix,21,2019,Red Bull Racing,HARD,VER,2,95.139,Qualifying,25.36,27.86333333,68.71666667,0.0,2,2,2,1.0,26,30,5.554,55
11,Abu Dhabi Grand Prix,21,2019,Red Bull Racing,MEDIUM,ALB,1,95.682,Qualifying,26.30769231,30.33076923,62.06153846,0.0,5,6,1,4.0,1,13,5.554,55
12,Abu Dhabi Grand Prix,21,2019,Red Bull Racing,MEDIUM,VER,1,95.139,Qualifying,26.116,29.948,63.748,0.0,2,2,1,4.0,1,25,5.554,55
